Estacao;Valor;Valor_D-1;m_postos;Incosistente;Area;P100;P95;P90
1;0.9;3.2;1.38;0;210000;55.87;22.08;18.63
1;0.4;0.9;1.79;0;210000;55.87;22.08;18.63
1;0.79;0.4;0.23;0;210000;55.87;22.08;18.63
1;0.25;0.79;1.38;0;210000;55.87;22.08;18.63
1;0.93;0.25;0.44;0;210000;55.87;22.08;18.63
1;3.86;0.93;0.28;0;210000;55.87;22.08;18.63
1;5.53;3.86;4.44;0;210000;55.87;22.08;18.63
1;3.48;5.53;2.91;0;210000;55.87;22.08;18.63
1;9.21;3.48;4.68;0;210000;55.87;22.08;18.63
1;18.89;9.21;12.1;0;210000;55.87;22.08;18.63
1;1.68;18.89;1.11;0;210000;55.87;22.08;18.63
1;1.74;1.68;1.79;0;210000;55.87;22.08;18.63
1;10.39;1.74;8.82;0;210000;55.87;22.08;18.63
1;12.94;10.39;8.21;0;210000;55.87;22.08;18.63
1;1.38;12.94;4.82;0;210000;55.87;22.08;18.63
1;1.46;1.38;10.13;0;210000;55.87;22.08;18.63
1;10.79;1.46;10.05;0;210000;55.87;22.08;18.63
1;12.96;10.79;12.56;0;210000;55.87;22.08;18.63
2;12.84;12.96;19.58;0;210000;27.79;11.43;8.61
2;16.88;12.84;14.26;0;210000;27.79;11.43;8.61
2;11.13;16.88;2.89;0;210000;27.79;11.43;8.61
2;1.49;11.13;1.2;0;210000;27.79;11.43;8.61
2;0.86;1.49;0.83;0;210000;27.79;11.43;8.61
2;2.04;0.86;0.78;0;210000;27.79;11.43;8.61
2;1.82;2.04;1.2;0;210000;27.79;11.43;8.61
2;1.36;1.82;1.06;0;210000;27.79;11.43;8.61
2;0.8;1.36;0.65;0;210000;27.79;11.43;8.61
2;0.64;0.8;0;0;210000;27.79;11.43;8.61
2;0.52;0.64;0;0;210000;27.79;11.43;8.61
2;0.2;0.52;0.01;0;210000;27.79;11.43;8.61
2;0.06;0.2;0;0;210000;27.79;11.43;8.61
2;0.68;0.06;1.29;0;210000;27.79;11.43;8.61
